song_id,term_id,n,c,term_str,pos_max
1001,176,4,1,a,DT
1001,188,1,1,aalright,NN
1001,360,1,1,aint,VBP
1001,394,3,1,all,DT
1001,419,1,1,alright,NN
1001,433,1,1,amazing,VBG
1001,460,5,1,and,CC
1001,509,1,1,anymore,RB
1001,565,1,1,are,VBP
1001,648,1,1,at,IN
1001,747,2,1,babe,NN
1001,751,1,1,baby,NN
1001,966,3,1,be,VB
1001,981,1,1,beat,NN
1001,1034,1,1,believe,VBP
1001,1164,1,1,bit,NN
1001,1216,1,1,bleed,VBP
1001,1275,2,1,blueprint,NN
1001,1463,1,1,break,VB
1001,1658,2,1,but,CC
1001,1681,1,1,by,IN
1001,1719,1,1,call,VB
1001,1739,1,1,can,MD
1001,1757,5,1,cant,VBP
1001,1826,1,1,carve,VB
1001,1847,1,1,catalogue,NN
1001,1985,1,1,checking,VBG
1001,2155,1,1,clean,JJ
1001,2194,1,1,close,RB
1001,2210,1,1,club,NN
1001,2291,1,1,come,VBN
1001,2422,1,1,control,NN
1001,2444,1,1,cool,JJ
1001,2505,1,1,could,MD
1001,2735,2,1,dadadadance,NN
1001,2738,3,1,dadadoodootn,NN
1001,2771,13,1,dance,NN
1001,3149,1,1,dizzy,JJ
1001,3214,1,1,dont,VBP
1001,3252,1,1,dough,NN
1001,3256,1,1,down,RP
1001,3311,1,1,drink,NN
1001,3320,1,1,drive,NN
1001,3486,1,1,eh,NN
1001,3508,1,1,electronic,JJ
1001,3561,1,1,energy,NN
1001,3573,1,1,enough,RB
1001,3752,1,1,eyes,NNS
1001,3975,1,1,find,VB
1001,4055,1,1,flaw,NN
1001,4100,2,1,floor,NN
1001,4349,1,1,gaga,NN
1001,4432,1,1,get,VB
1001,4436,1,1,gettin,NN
1001,4477,1,1,give,VB
1001,4529,2,1,go,VB
1001,4552,1,1,goin,NN
1001,4565,4,1,gonna,NN
1001,4596,6,1,got,VBD
1001,4804,1,1,had,VBD
1001,4826,2,1,half,NN
1001,4926,1,1,have,VBP
1001,5033,1,1,here,RB
1001,5094,1,1,hips,NNS
1001,5101,1,1,hit,VBD
1001,5239,1,1,hosed,VBD
1001,5271,1,1,howd,NN
1001,5328,1,1,hustle,NN
1001,5337,2,1,hypnotic,NN
1001,5343,12,1,i,NN
1001,5403,2,1,imma,NN
1001,5418,2,1,in,IN
1001,5431,1,1,incredible,JJ
1001,5480,2,1,inside,IN
1001,5552,1,1,is,VBZ
1001,5560,16,1,it,PRP
1001,5569,2,1,its,PRP$
1001,5577,1,1,ive,JJ
1001,5688,3,1,jjjust,NN
1001,5761,8,1,just,RB
1001,5799,1,1,keep,VB
1001,5837,1,1,keys,NNS
1001,5937,1,1,konvict,NN
1001,6039,1,1,last,JJ
1001,6042,1,1,latch,RBR
1001,6110,1,1,leave,VBP
1001,6162,1,1,let,VB
1001,6167,1,1,lets,NNS
1001,6225,1,1,like,IN
1001,6284,1,1,little,JJ
1001,6379,1,1,lost,VBN
1001,6399,1,1,love,NN
1001,6457,1,1,lysol,VBZ
1001,6532,1,1,man,NN
1001,6555,1,1,many,JJ
1001,6665,2,1,me,PRP
1001,6677,1,1,meantime,NN
1001,7031,1,1,mouth,NN
1001,7049,3,1,much,JJ
1001,7085,1,1,muscle,NN
1001,7088,1,1,music,NN
1001,7103,8,1,my,PRP$
1001,7133,1,1,name,NN
1001,7291,1,1,no,DT
1001,7407,2,1,of,IN
1001,7425,10,1,oh,UH
1001,7439,6,1,ohoh,NN
1001,7463,3,1,okay,NN
1001,7482,4,1,on,IN
1001,7501,1,1,onto,IN
1001,7504,1,1,ooh,NN
1001,7554,1,1,or,CC
1001,7585,4,1,out,RP
1001,7875,1,1,people,NNS
1001,7946,2,1,phone,NN
1001,7969,1,1,pick,VB
1001,8078,1,1,playboy,NN
1001,8119,1,1,pocko,NN
1001,8126,1,1,poison,NN
1001,8411,2,1,psychotic,JJ
1001,8643,1,1,reason,NN
1001,8666,2,1,record,NN
1001,8681,1,1,redone,NN
1001,8744,1,1,remember,VB
1001,8897,1,1,right,RB
1001,9039,1,1,roses,NNS
1001,9054,2,1,round,NN
1001,9123,2,1,rush,NN
1001,9220,1,1,say,VBP
1001,9335,2,1,see,VB
1001,9506,1,1,shirt,NN
1001,9541,1,1,shorty,NN
1001,9580,1,1,shut,VB
1001,9587,2,1,sick,JJ
1001,9786,1,1,slow,VB
1001,9886,2,1,so,RB
1001,10019,1,1,spend,VB
1001,10031,1,1,spin,NN
1001,10173,2,1,start,VB
1001,10194,2,1,stay,VB
1001,10199,1,1,steady,JJ
1001,10302,1,1,straight,VBD
1001,10578,1,1,symphonic,NN
1001,10785,3,1,that,IN
1001,10790,7,1,the,DT
1001,10795,1,1,them,PRP
1001,10802,1,1,there,RB
1001,10811,1,1,they,PRP
1001,10840,2,1,this,DT
1001,10846,1,1,thorns,NNS
1001,10885,1,1,through,IN
1001,11000,3,1,to,TO
1001,11025,1,1,tomorrow,NN
1001,11032,1,1,tonight,NN
1001,11036,1,1,too,RB
1001,11236,1,1,truth,NN
1001,11244,1,1,tryna,NN
1001,11287,1,1,turn,VB
1001,11320,1,1,twirlin,VBP
1001,11323,1,1,twister,NN
1001,11465,1,1,until,IN
1001,11471,4,1,up,RP
1001,11496,1,1,use,VB
1001,11758,1,1,watch,VB
1001,11780,1,1,way,NN
1001,11837,1,1,were,VBD
1001,11862,2,1,whats,NNS
1001,11874,1,1,when,WRB
1001,11877,1,1,where,WRB
1001,11939,1,1,why,WRB
1001,12006,1,1,wish,VBP
1001,12014,1,1,with,IN
1001,12018,1,1,without,IN
1001,12052,1,1,women,NNS
1001,12073,1,1,wooo,NN
1001,12081,1,1,work,NN
1001,12181,3,1,yeah,NN
1001,12233,4,1,you,PRP
1001,12248,3,1,your,PRP$
1002,176,2,1,a,DT
1002,315,1,1,again,RB
1002,394,1,1,all,DT
1002,460,1,1,and,CC
1002,510,1,1,anyone,NN
1002,565,1,1,are,VBP
1002,648,1,1,at,IN
1002,758,2,1,back,RB
1002,1015,1,1,before,IN
1002,1032,1,1,being,VBG
1002,1044,3,1,belong,VBP
1002,1658,4,1,but,CC
1002,1757,1,1,cant,VBP
1002,1859,3,1,cause,NN
1002,2291,1,1,come,VBN
1002,3224,1,1,door,NN
1002,3419,1,1,dysfunctional,JJ
1002,3499,1,1,either,CC
1002,3949,1,1,fight,NN
1002,4162,2,1,for,IN
1002,4179,1,1,forever,RB
1002,4211,1,1,found,VBD
1002,4529,1,1,go,VB
1002,4568,1,1,goodbye,NN
1002,4596,2,1,got,VBD
1002,4756,2,1,guess,NN
1002,5033,2,1,here,RB
1002,5179,1,1,honestly,RB
1002,5270,1,1,how,WRB
1002,5343,6,1,i,NN
1002,5393,1,1,im,NN
1002,5552,1,1,is,VBZ
1002,5559,1,1,issues,NNS
1002,5577,1,1,ive,JJ
1002,5923,1,1,know,VBP
1002,6162,1,1,let,VB
1002,6200,4,1,life,NN
1002,6225,1,1,like,IN
1002,6646,2,1,maybe,RB
1002,6665,2,1,me,PRP
1002,6675,2,1,means,VBZ
1002,6745,1,1,messed,VBD
1002,6861,1,1,miss,VBP
1002,7049,1,1,much,JJ
1002,7103,5,1,my,PRP$
1002,7231,1,1,never,RB
1002,7341,1,1,nothing,NN
1002,7349,4,1,now,RB
1002,7407,1,1,of,IN
1002,7425,1,1,oh,UH
1002,7585,1,1,out,RP
1002,7969,1,1,pick,VB
1002,7983,1,1,piece,NN
1002,8302,1,1,pretty,RB
1002,8636,1,1,really,RB
1002,9152,2,1,said,VBD
1002,9553,1,1,shouldnt,NNS
1002,9886,1,1,so,RB
1002,9929,1,1,somehow,NN
1002,9955,1,1,sorry,NN
1002,10146,1,1,standin,NN
1002,10387,1,1,stupid,JJ
1002,10413,4,1,suck,VB
1002,10615,1,1,take,VB
1002,10724,1,1,tellin,NN
1002,10785,1,1,that,IN
1002,10840,2,1,this,DT
1002,11014,4,1,together,RB
1002,11036,1,1,too,RB
1002,11244,1,1,tryna,NN
1002,11440,1,1,united,VBN
1002,11471,1,1,up,RP
1002,11726,1,1,wanted,VBD
1002,11743,2,1,was,VBD
1002,11780,1,1,way,NN
1002,11785,3,1,we,PRP
1002,12014,1,1,with,IN
1002,12018,3,1,without,IN
1002,12099,4,1,would,MD
1002,12133,1,1,wrong,JJ
1002,12181,7,1,yeah,NN
1002,12233,12,1,you,PRP
1002,12235,1,1,youd,NN
1002,12250,3,1,youre,NN
1003,176,4,1,a,DT
1003,460,3,1,and,CC
1003,605,1,1,as,IN
1003,966,2,1,be,VB
1003,986,1,1,beats,NNS
1003,1094,1,1,between,IN
1003,1256,1,1,bloodshot,JJ
1003,1400,1,1,bottle,NN
1003,1430,1,1,boys,NNS
1003,1431,1,1,boysll,NN
1003,1658,4,1,but,CC
1003,1739,1,1,can,MD
1003,1757,1,1,cant,VBP
1003,1858,1,1,caught,VBD
1003,1859,3,1,cause,NN
1003,1965,1,1,chase,NN
1003,1968,1,1,chasin,NN
1003,1975,1,1,cheap,JJ
1003,2039,1,1,chill,VB
1003,2155,1,1,clean,JJ
1003,2258,1,1,cold,JJ
1003,2291,1,1,come,VBN
1003,2438,1,1,cook,NN
1003,2505,1,1,could,MD
1003,2680,1,1,cure,NN
1003,2901,1,1,deep,JJ
1003,2910,1,1,define,VB
1003,2950,1,1,deny,NN
1003,3126,1,1,distance,NN
1003,3160,2,1,do,VBP
1003,3214,4,1,dont,VBP
1003,3256,2,1,down,RP
1003,3648,1,1,ever,RB
1003,3752,1,1,eyes,NNS
1003,3799,1,1,fall,NN
1003,3888,2,1,feel,VB
1003,3893,1,1,feet,NNS
1003,3949,1,1,fight,NN
1003,3988,1,1,finger,NN
1003,4025,1,1,fix,VB
1003,4162,1,1,for,IN
1003,4172,1,1,forehead,NN
1003,4211,1,1,found,VBD
1003,4359,1,1,game,NN
1003,4432,3,1,get,VB
1003,4477,1,1,give,VB
1003,4529,1,1,go,VB
1003,4575,1,1,goodnight,NN
1003,4596,1,1,got,VBD
1003,4846,2,1,hand,NN
1003,4889,1,1,harder,NN
1003,4942,1,1,head,NN
1003,4974,1,1,heart,NN
1003,5194,2,1,hook,NN
1003,5343,10,1,i,NN
1003,5362,2,1,if,IN
1003,5389,1,1,ill,RB
1003,5418,1,1,in,IN
1003,5520,1,1,into,IN
1003,5552,1,1,is,VBZ
1003,5560,3,1,it,PRP
1003,5761,1,1,just,RB
1003,5799,1,1,keep,VB
1003,5886,1,1,kiss,VB
1003,6039,1,1,last,JJ
1003,6075,1,1,lay,VB
1003,6122,1,1,left,VBD
1003,6354,1,1,lookin,NN
1003,6399,1,1,love,NN
1003,6642,1,1,may,MD
1003,6665,2,1,me,PRP
1003,6742,1,1,mess,NN
1003,6861,1,1,miss,VBP
1003,6981,1,1,more,JJR
1003,7015,1,1,motion,NN
1003,7049,1,1,much,JJ
1003,7103,1,1,my,PRP$
1003,7291,4,1,no,DT
1003,7335,3,1,not,RB
1003,7349,2,1,now,RB
1003,7407,1,1,of,IN
1003,7425,5,1,oh,UH
1003,7482,1,1,on,IN
1003,7484,1,1,one,CD
1003,7585,1,1,out,RP
1003,7609,1,1,over,IN
1003,8466,1,1,put,VB
1003,8500,1,1,quick,JJ
1003,9220,2,1,say,VBP
1003,9335,1,1,see,VB
1003,9469,1,1,she,PRP
1003,9756,1,1,sleeve,NN
1003,9786,2,1,slow,VB
1003,9851,1,1,snap,NN
1003,9886,2,1,so,RB
1003,9995,1,1,sparks,NNS
1003,10540,1,1,sweetheart,NN
1003,10606,1,1,tail,NN
1003,10628,1,1,talent,NN
1003,10785,2,1,that,IN
1003,10790,8,1,the,DT
1003,10797,1,1,then,RB
1003,10806,1,1,theres,NNS
1003,10811,2,1,they,PRP
1003,10840,2,1,this,DT
1003,10848,1,1,those,DT
1003,10878,1,1,thrills,NNS
1003,10885,1,1,through,IN
1003,11000,4,1,to,TO
1003,11036,1,1,too,RB
1003,11241,1,1,try,VB
1003,11471,6,1,up,RP
1003,11493,1,1,us,PRP
1003,11725,4,1,want,VBP
1003,11828,1,1,well,RB
1003,11970,1,1,will,MD
1003,12014,2,1,with,IN
1003,12062,1,1,wont,VBP
1003,12209,1,1,yes,NNS
1003,12233,9,1,you,PRP
1003,12248,7,1,your,PRP$
1003,12250,3,1,youre,NN
1004,176,2,1,a,DT
1004,460,4,1,and,CC
1004,510,1,1,anyone,NN
1004,565,2,1,are,VBP
1004,648,1,1,at,IN
1004,751,3,1,baby,NN
1004,778,1,1,backstage,NN
1004,966,5,1,be,VB
1004,1094,1,1,between,IN
1004,1121,1,1,biggest,JJS
1004,1427,1,1,boy,NN
1004,1638,1,1,burnt,JJ
1004,1658,3,1,but,CC
1004,1859,2,1,cause,NN
1004,1873,1,1,ccomin,VBN
1004,1965,1,1,chase,NN
1004,2011,1,1,cherry,NN
1004,2114,1,1,cigarettes,NNS
1004,2626,1,1,crowd,NN
1004,2648,1,1,cry,NN
1004,2771,2,1,dance,NN
1004,3214,3,1,dont,VBP
1004,3256,1,1,down,RP
1004,3357,1,1,dry,JJ
1004,3751,1,1,eyeliner,NN
1004,3814,1,1,famous,JJ
1004,3815,1,1,fan,NN
1004,3823,1,1,fantastical,JJ
1004,4041,1,1,flash,NN
1004,4045,1,1,flashing,VBG
1004,4141,1,1,follow,VB
1004,4162,2,1,for,IN
1004,4322,1,1,fun,NN
1004,4371,1,1,garage,NN
1004,4467,1,1,girl,NN
1004,4493,1,1,glamorous,JJ
1004,4567,1,1,good,JJ
1004,4596,1,1,got,VBD
1004,4771,1,1,guitars,NNS
1004,4926,3,1,have,VBP
1004,5343,3,1,i,NN
1004,5389,4,1,ill,RB
1004,5393,1,1,im,NN
1004,5418,2,1,in,IN
1004,5552,3,1,is,VBZ
1004,5560,3,1,it,PRP
1004,5569,2,1,its,PRP$
1004,5639,1,1,jeans,NNS
1004,5872,1,1,kind,NN
1004,5923,2,1,know,VBP
1004,6038,1,1,lashes,NNS
1004,6108,1,1,leather,NN
1004,6219,1,1,lights,NNS
1004,6399,2,1,love,NN
1004,6409,1,1,loving,VBG
1004,6490,1,1,magical,JJ
1004,6665,2,1,me,PRP
1004,6675,1,1,means,VBZ
1004,6828,1,1,mine,NN
1004,7103,3,1,my,PRP$
1004,7193,1,1,need,VBP
1004,7291,1,1,no,DT
1004,7335,1,1,not,RB
1004,7407,2,1,of,IN
1004,7482,2,1,on,IN
1004,7574,1,1,other,JJ
1004,7585,1,1,out,RP
1004,7714,2,1,papapaparazzi,NN
1004,7952,1,1,photo,NN
1004,7979,1,1,picture,NN
1004,7982,1,1,pie,NN
1004,8069,1,1,plastic,JJ
1004,8307,2,1,price,NN
1004,8363,1,1,promise,NN
1004,8451,1,1,purple,JJ
1004,8533,1,1,radio,NN
1004,8625,1,1,ready,JJ
1004,8626,1,1,real,JJ
1004,8972,1,1,rock,NN
1004,9034,1,1,ropes,NNS
1004,9398,1,1,sets,NNS
1004,9426,1,1,shadow,NN
1004,9508,1,1,shit,NN
1004,9562,1,1,show,NN
1004,9851,2,1,snap,NN
1004,9886,2,1,so,RB
1004,10155,1,1,star,NN
1004,10246,1,1,still,RB
1004,10278,2,1,stop,VB
1004,10370,1,1,studio,NN
1004,10475,1,1,superstar,NN
1004,10485,1,1,sure,JJ
1004,10696,1,1,teardrops,NNS
1004,10785,5,1,that,IN
1004,10790,4,1,the,DT
1004,10806,1,1,theres,NNS
1004,10840,1,1,this,DT
1004,10848,1,1,those,DT
