song_id,term_id,n,c,term_str,pos_max
1001,105,10,1,a,DT
1001,170,1,1,afraid,JJ
1001,198,1,1,aint,VBP
1001,215,1,1,all,DT
1001,229,4,1,alright,VBN
1001,257,12,1,and,CC
1001,320,5,1,are,VBP
1001,405,2,1,away,RB
1001,423,1,1,babe,NN
1001,426,3,1,baby,NN
1001,551,8,1,be,VB
1001,592,2,1,begging,VBG
1001,907,2,1,broken,JJ
1001,1029,1,1,california,NN
1001,1077,2,1,care,NN
1001,1122,9,1,cause,NN
1001,1401,9,1,come,VBN
1001,1748,1,1,day,NN
1001,1797,2,1,deep,JJ
1001,1976,8,1,dont,VBP
1001,2003,13,1,down,RP
1001,2623,1,1,for,IN
1001,2761,1,1,games,NNS
1001,2808,2,1,get,VB
1001,2827,1,1,girl,NN
1001,2833,2,1,give,VB
1001,2898,4,1,good,JJ
1001,2917,1,1,got,VBD
1001,2920,4,1,gotta,VBP
1001,3090,2,1,hanging,VBG
1001,3202,6,1,here,RB
1001,3346,1,1,hotter,NN
1001,3391,1,1,hurting,VBG
1001,3404,21,1,i,NN
1001,3430,14,1,im,NN
1001,3445,6,1,in,IN
1001,3479,1,1,insecure,NN
1001,3521,14,1,it,PRP
1001,3528,2,1,its,PRP$
1001,3647,4,1,just,RB
1001,3710,2,1,killing,VBG
1001,3736,1,1,knees,NNS
1001,3874,1,1,leave,VBP
1001,3908,1,1,let,VB
1001,3931,4,1,life,NN
1001,3984,14,1,little,JJ
1001,3991,1,1,living,VBG
1001,4059,8,1,love,NN
1001,4066,6,1,loving,VBG
1001,4121,4,1,make,VBP
1001,4123,1,1,makeup,NN
1001,4140,1,1,man,NN
1001,4225,23,1,me,PRP
1001,4516,7,1,my,PRP$
1001,4574,12,1,need,VBP
1001,4576,2,1,needing,VBG
1001,4601,1,1,never,RB
1001,4640,3,1,no,DT
1001,4641,1,1,nobody,NN
1001,4680,1,1,now,RB
1001,4758,14,1,on,IN
1001,4760,4,1,one,CD
1001,4773,3,1,ooh,NN
1001,4818,1,1,other,JJ
1001,5084,1,1,pick,VB
1001,5096,1,1,pieces,NNS
1001,5150,1,1,play,NN
1001,5161,12,1,please,NN
1001,5393,8,1,put,VBD
1001,5497,2,1,really,RB
1001,5521,1,1,red,JJ
1001,5653,6,1,right,RB
1001,6037,1,1,shit,NN
1001,6080,4,1,show,NN
1001,6092,1,1,shy,VBP
1001,6282,1,1,so,RB
1001,6310,1,1,some,DT
1001,6312,1,1,somebodys,VBP
1001,6318,1,1,something,NN
1001,6346,1,1,southern,JJ
1001,6640,13,1,sugar,NN
1001,6701,1,1,sweet,JJ
1001,6704,4,1,sweetness,NN
1001,6722,4,1,sympathy,NN
1001,6780,2,1,taste,NN
1001,6851,1,1,than,IN
1001,6860,4,1,that,IN
1001,6862,1,1,thats,NNS
1001,6864,1,1,the,DT
1001,6868,1,1,them,PRP
1001,6873,3,1,there,EX
1001,6886,2,1,thing,NN
1001,7042,1,1,touch,NN
1001,7277,1,1,unless,IN
1001,7291,1,1,up,RP
1001,7350,1,1,velvet,NN
1001,7445,7,1,wanna,VBP
1001,7447,2,1,want,VBP
1001,7480,1,1,way,NN
1001,7484,1,1,weak,JJ
1001,7546,4,1,when,WRB
1001,7548,4,1,where,WRB
1001,7639,2,1,without,IN
1001,7666,8,1,wont,VBP
1001,7756,6,1,yeah,NN
1001,7772,11,1,yes,NNS
1001,7784,22,1,you,PRP
1001,7792,12,1,your,PRP$
1001,7794,3,1,youre,NN
1002,233,6,1,always,RB
1002,257,6,1,and,CC
1002,551,2,1,be,VB
1002,601,1,1,being,VBG
1002,603,1,1,believe,VBP
1002,907,1,1,broken,JJ
1002,1001,2,1,but,CC
1002,1030,2,1,call,VB
1002,1077,4,1,care,NN
1002,1122,10,1,cause,NN
1002,1464,1,1,confused,VBN
1002,1497,1,1,convinced,VBN
1002,1841,6,1,deserve,VBP
1002,1976,2,1,dont,VBP
1002,2115,7,1,earned,VBD
1002,2306,2,1,expected,VBD
1002,2402,1,1,favorite,JJ
1002,2435,1,1,felt,VBD
1002,2623,4,1,for,IN
1002,2827,12,1,girl,NN
1002,3119,2,1,hate,VBP
1002,3212,4,1,hey,NN
1002,3404,5,1,i,NN
1002,3430,2,1,im,NN
1002,3431,4,1,ima,JJ
1002,3481,2,1,inside,IN
1002,3521,30,1,it,PRP
1002,3528,1,1,its,PRP$
1002,3715,1,1,kind,NN
1002,3746,1,1,know,VBP
1002,3930,1,1,lies,NNS
1002,3948,1,1,like,IN
1002,3986,1,1,live,VBP
1002,4026,2,1,lonely,RB
1002,4030,1,1,look,NN
1002,4059,4,1,love,NN
1002,4103,1,1,made,VBD
1002,4109,1,1,magic,NN
1002,4121,1,1,make,VBP
1002,4319,1,1,mind,NN
1002,4394,2,1,moments,NNS
1002,4516,1,1,my,PRP$
1002,4601,1,1,never,RB
1002,4621,3,1,night,NN
1002,4640,4,1,no,DT
1002,4641,2,1,nobody,NN
1002,4717,1,1,of,IN
1002,4732,1,1,oh,UH
1002,4758,1,1,on,IN
1002,4769,2,1,only,RB
1002,4773,1,1,ooh,NN
1002,4824,1,1,our,PRP$
1002,4975,2,1,pay,VB
1002,5027,6,1,perfect,JJ
1002,5781,1,1,rush,NN
1002,5802,1,1,said,VBD
1002,5928,1,1,see,VB
1002,6282,6,1,so,RB
1002,6860,1,1,that,IN
1002,6864,8,1,the,DT
1002,6873,1,1,there,EX
1002,7002,1,1,to,TO
1002,7073,1,1,tragic,JJ
1002,7263,2,1,unexpected,JJ
1002,7306,3,1,us,PRP
1002,7309,2,1,used,VBD
1002,7459,1,1,was,VBD
1002,7480,5,1,way,NN
1002,7483,3,1,we,PRP
1002,7520,1,1,were,VBD
1002,7546,4,1,when,WRB
1002,7636,1,1,with,IN
1002,7679,5,1,work,NN
1002,7694,6,1,worth,IN
1002,7695,1,1,would,MD
1002,7697,1,1,wouldnt,VBP
1002,7756,9,1,yeah,NN
1002,7784,40,1,you,PRP
1002,7794,13,1,youre,NN
1003,119,3,1,about,IN
1003,215,1,1,all,DT
1003,226,3,1,alone,RB
1003,233,2,1,always,RB
1003,257,5,1,and,CC
1003,367,3,1,at,IN
1003,426,2,1,baby,NN
1003,551,8,1,be,VB
1003,569,1,1,beautiful,JJ
1003,631,2,1,best,JJS
1003,824,6,1,both,DT
1003,1001,30,1,but,CC
1003,1057,20,1,cant,VBP
1003,1401,2,1,come,VBN
1003,1775,2,1,death,NN
1003,1797,1,1,deep,JJ
1003,1976,6,1,dont,VBP
1003,2334,17,1,face,NN
1003,2424,17,1,feel,VBP
1003,2636,1,1,forever,RB
1003,2808,2,1,get,VB
1003,2827,1,1,girl,NN
1003,2870,3,1,go,VB
1003,3212,1,1,hey,NN
1003,3404,54,1,i,NN
1003,3430,16,1,im,NN
1003,3445,1,1,in,IN
1003,3516,2,1,is,VBZ
1003,3521,36,1,it,PRP
1003,3746,10,1,know,VBP
1003,3872,3,1,least,JJS
1003,4059,31,1,love,NN
1003,4225,13,1,me,PRP
1003,4339,1,1,misery,NN
1003,4427,3,1,more,JJR
1003,4516,17,1,my,PRP$
1003,4570,1,1,necessary,JJ
1003,4601,3,1,never,RB
1003,4640,3,1,no,DT
1003,4684,2,1,numb,JJ
1003,4717,4,1,of,IN
1003,4732,17,1,oh,UH
1003,5802,1,1,said,VBD
1003,6012,9,1,she,PRP
1003,6022,4,1,shell,NN
1003,6493,1,1,stay,VB
1003,6864,7,1,the,DT
1003,6898,4,1,this,DT
1003,7002,2,1,to,TO
1003,7011,9,1,told,VBD
1003,7459,1,1,was,VBD
1003,7483,6,1,we,PRP
1003,7515,3,1,well,RB
1003,7520,1,1,were,VBD
1003,7546,17,1,when,WRB
1003,7636,16,1,with,IN
1003,7639,3,1,without,IN
1003,7667,3,1,woo,NN
1003,7690,6,1,worry,VBP
1003,7693,2,1,worst,JJS
1003,7756,1,1,yeah,NN
1003,7775,2,1,yet,RB
1003,7784,16,1,you,PRP
1003,7787,3,1,youll,NN
1003,7788,1,1,young,JJ
1004,105,2,1,a,DT
1004,257,9,1,and,CC
1004,290,2,1,anything,NN
1004,320,1,1,are,VBP
1004,401,1,1,aw,NN
1004,426,2,1,baby,NN
1004,431,1,1,back,RB
1004,454,1,1,bad,JJ
1004,770,1,1,body,NN
1004,1001,1,1,but,CC
1004,1015,1,1,cab,NN
1004,1057,1,1,cant,VBP
1004,1122,1,1,cause,NN
1004,1806,1,1,degrees,NNS
1004,1838,1,1,derulo,NN
1004,1949,14,1,do,VBP
1004,1984,2,1,door,NN
1004,2003,1,1,down,RP
1004,2050,1,1,driver,NN
1004,2112,1,1,ear,JJ
1004,2274,1,1,everything,NN
1004,2389,1,1,fast,RB
1004,2580,2,1,floor,NN
1004,2618,1,1,foot,NN
1004,2808,14,1,get,VB
1004,2811,4,1,gets,VBZ
1004,2827,12,1,girl,NN
1004,2917,11,1,got,VBD
1004,2920,1,1,gotta,VBP
1004,3102,1,1,hard,JJ
1004,3139,1,1,head,NN
1004,3224,8,1,high,JJ
1004,3375,1,1,hundred,CD
1004,3404,34,1,i,NN
1004,3416,6,1,if,IN
1004,3430,1,1,im,NN
1004,3445,2,1,in,IN
1004,3521,2,1,it,PRP
1004,3528,2,1,its,PRP$
1004,3647,15,1,just,RB
1004,3689,1,1,keys,NNS
1004,3874,1,1,leave,VBP
1004,4225,26,1,me,PRP
1004,4319,1,1,mind,NN
1004,4427,1,1,more,JJR
1004,4516,3,1,my,PRP$
1004,4606,11,1,next,JJ
1004,4640,7,1,no,DT
1004,4675,8,1,nothing,NN
1004,4717,6,1,of,IN
1004,4732,4,1,oh,UH
1004,4758,3,1,on,IN
1004,4760,7,1,one,CD
1004,4773,8,1,ooh,NN
1004,4782,8,1,oohoohoohoohoohooh,NN
1004,4791,1,1,open,JJ
1004,4827,1,1,out,RP
1004,6017,1,1,sheets,NNS
1004,6194,1,1,sleep,VB
1004,6239,1,1,smile,NN
1004,6282,8,1,so,RB
1004,6741,1,1,take,VB
1004,6864,18,1,the,DT
1004,6873,1,1,there,EX
1004,6876,6,1,theres,NNS
1004,6910,4,1,thought,VBD
1004,6970,1,1,time,NN
