term_id,term_rank,term_str,n,num,stop,p_stem,pos_max
5343,1,i,11009,0,1,i,NN
12233,2,you,9510,0,1,you,PRP
10790,3,the,8477,0,1,the,DT
11000,4,to,5465,0,1,to,TO
176,5,a,5126,0,1,a,DT
460,6,and,5001,0,1,and,CC
6665,7,me,4861,0,1,me,PRP
5560,8,it,4618,0,1,it,PRP
7103,9,my,4419,0,1,my,PRP$
5393,10,im,3504,0,0,im,NN
5418,11,in,3330,0,1,in,IN
7482,12,on,3085,0,1,on,IN
10785,13,that,3082,0,1,that,IN
12181,14,yeah,2665,0,0,yeah,NN
6225,15,like,2600,0,0,like,IN
12248,16,your,2360,0,1,your,PRP$
11471,17,up,2301,0,1,up,RP
3214,18,dont,2180,0,0,dont,VBP
11785,19,we,1950,0,1,we,PRP
4596,20,got,1912,0,0,got,VBD
5923,21,know,1879,0,0,know,VBP
394,22,all,1869,0,1,all,DT
11725,23,want,1831,0,0,want,VBP
966,24,be,1767,0,1,be,VB
12014,25,with,1752,0,1,with,IN
1658,26,but,1717,0,1,but,CC
5761,27,just,1684,0,1,just,RB
7407,28,of,1661,0,1,of,IN
4162,29,for,1649,0,1,for,IN
9886,30,so,1633,0,1,so,RB
7425,31,oh,1520,0,0,oh,UH
7291,32,no,1435,0,1,no,DT
10840,33,this,1426,0,1,thi,DT
4432,34,get,1379,0,0,get,VB
6399,35,love,1358,0,0,love,NN
5569,36,its,1333,0,1,it,PRP$
5552,37,is,1330,0,1,is,VBZ
751,38,baby,1309,0,0,babi,NN
11853,39,what,1285,0,1,what,WP
9469,40,she,1282,0,1,she,PRP
11874,41,when,1278,0,1,when,WRB
7349,42,now,1187,0,1,now,RB
3160,43,do,1166,0,1,do,VBP
7585,44,out,1126,0,1,out,RP
360,45,aint,1087,0,0,aint,VBP
5362,46,if,1086,0,1,if,IN
10811,47,they,1062,0,1,they,PRP
4529,48,go,1040,0,0,go,VB
1859,49,cause,1039,0,0,caus,NN
1739,50,can,966,0,1,can,MD
12250,51,youre,948,0,0,your,NN
3256,52,down,921,0,1,down,RP
5030,53,her,907,0,1,her,PRP$
7484,54,one,820,0,0,one,CD
7231,55,never,805,0,0,never,RB
6508,56,make,804,0,0,make,VB
1757,57,cant,802,0,0,cant,VBP
758,58,back,802,0,0,back,RB
9220,59,say,772,0,0,say,VBP
648,60,at,753,0,1,at,IN
4467,61,girl,725,0,0,girl,NN
9335,62,see,725,0,0,see,VB
11743,63,was,718,0,1,wa,VBD
10952,64,time,690,0,0,time,NN
6162,65,let,679,0,0,let,VB
8897,66,right,667,0,0,right,RB
10615,67,take,638,0,0,take,VB
7335,68,not,635,0,1,not,RB
5047,69,hey,630,0,0,hey,NN
7193,70,need,623,0,0,need,VBP
5270,71,how,608,0,1,how,WRB
7504,72,ooh,596,0,0,ooh,NN
4285,73,from,589,0,1,from,IN
10722,74,tell,577,0,0,tell,VB
10788,75,thats,573,0,0,that,NNS
5389,76,ill,563,0,0,ill,RB
11780,77,way,557,0,0,way,NN
2291,78,come,551,0,0,come,VBN
1165,79,bitch,551,0,0,bitch,NN
7251,80,nigga,514,0,0,nigga,NN
4941,81,he,504,0,1,he,PRP
1008,82,been,494,0,1,been,VBN
9508,83,shit,484,0,0,shit,NN
4926,84,have,482,0,1,have,VBP
3888,85,feel,481,0,0,feel,VB
4305,86,fuck,480,0,0,fuck,NN
565,87,are,479,0,1,are,VBP
11837,88,were,472,0,1,were,VBD
8466,89,put,465,0,0,put,VB
10795,90,them,463,0,1,them,PRP
5799,91,keep,455,0,0,keep,VB
4567,92,good,454,0,0,good,JJ
2505,93,could,451,0,0,could,MD
5033,94,here,445,0,1,here,RB
3521,95,em,442,0,0,em,NN
7256,96,night,439,0,0,night,NN
9925,97,some,437,0,1,some,DT
735,98,ayy,436,0,0,ayi,NN
4804,99,had,435,0,1,had,VBD
6946,100,money,434,0,0,money,NN
4565,101,gonna,431,0,0,gonna,NN
6200,102,life,428,0,0,life,NN
6351,103,look,411,0,0,look,NN
10797,104,then,410,0,1,then,RB
9152,105,said,405,0,0,said,VBD
4600,106,gotta,402,0,0,gotta,VBP
11036,107,too,400,0,1,too,RB
7408,108,off,397,0,1,off,RP
10825,109,think,397,0,0,think,VBP
10807,110,these,395,0,1,these,DT
605,111,as,393,0,1,as,IN
202,112,about,388,0,1,about,IN
7254,113,niggas,387,0,0,nigga,NNS
11877,114,where,373,0,1,where,WRB
4477,115,give,373,0,0,give,VB
4560,116,gon,369,0,0,gon,VBP
6532,117,man,367,0,0,man,NN
6981,118,more,365,0,1,more,JJR
3642,119,even,359,0,0,even,RB
4974,120,heart,356,0,0,heart,NN
7554,121,or,354,0,1,or,CC
11356,122,uh,353,0,0,uh,NN
790,123,bad,332,0,0,bad,JJ
11911,124,who,332,0,1,who,WP
3653,125,every,332,0,0,everi,DT
10246,126,still,326,0,0,still,RB
11939,127,why,320,0,1,whi,WRB
1719,128,call,319,0,0,call,VB
7499,129,only,319,0,1,onli,RB
589,130,around,314,0,0,around,IN
10802,131,there,314,0,1,there,RB
3648,132,ever,308,0,0,ever,RB
8636,133,really,307,0,0,realli,RB
12062,134,wont,302,0,0,wont,VBP
6167,135,lets,300,0,0,let,NNS
5577,136,ive,300,0,0,ive,JJ
11828,137,well,290,0,0,well,RB
11032,138,tonight,289,0,0,tonight,NN
6284,139,little,288,0,0,littl,JJ
