term_id,term_rank,term_str,n,num,stop,p_stem,pos_max,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max
1,10407,01,1,1,0,01,CD,0.005016994733240286,0.005016994733240286,0.005016994733240286,0.005016994733240286
2,7594,06,1,1,0,06,CD,0.005016994733240286,0.005016994733240286,0.005016994733240286,0.005016994733240286
3,7531,082,1,1,0,082,CD,0.006173953686398424,0.006173953686398424,0.006173953686398424,0.006173953686398424
4,7523,092,1,1,0,092,CD,0.006515433425690371,0.006515433425690371,0.006515433425690371,0.006515433425690371
5,1330,1,15,1,0,1,CD,0.016533295486925288,0.1322663638954023,0.004438966350277169,0.08877764875739584
6,1761,10,11,1,0,10,CD,0.00526771599090009,0.06321259189080108,0.004681561917979049,0.011105920609312042
7,2222,100,8,1,0,100,CD,0.004296323534615979,0.038666911811543817,0.0031399580425437268,0.008543920167264905
8,4586,100000,3,1,0,100000,CD,0.021340405133420635,0.021340405133420635,0.021340405133420635,0.021340405133420635
9,5069,100k,2,1,0,100k,CD,0.006538607631056927,0.013077215262113855,0.006538607631056927,0.007013119131957736
10,7874,104,1,1,0,104,CD,0.010988716076164357,0.010988716076164357,0.010988716076164357,0.010988716076164357
11,7902,105,1,1,0,105,CD,0.006388234074646525,0.006388234074646525,0.006388234074646525,0.006388234074646525
12,7900,10k,1,1,0,10k,CD,0.014873615699050748,0.014873615699050748,0.014873615699050748,0.014873615699050748
13,4597,10piece,3,1,0,10piec,CD,0.021136190730230008,0.021136190730230008,0.021136190730230008,0.021136190730230008
14,7646,11th,1,1,0,11th,CD,0.005413558655169205,0.005413558655169205,0.005413558655169205,0.005413558655169205
15,2497,12,6,1,0,12,CD,0.006684045955519936,0.03342022977759968,0.005700522599177738,0.010669861777083274
16,7665,120,1,1,0,120,CD,0.005335101283355159,0.005335101283355159,0.005335101283355159,0.005335101283355159
17,7614,1200,1,1,0,1200,CD,0.0029607457029653603,0.0059214914059307205,0.0029607457029653603,0.0029607457029653603
18,7764,123,1,1,0,123,CD,0.009655658716105074,0.009655658716105074,0.009655658716105074,0.009655658716105074
19,2494,12345678,6,1,0,12345678,CD,0.007461561021434992,0.022384683064304977,0.006093468280721939,0.010197746502861097
20,6841,129,1,1,0,129,CD,0.0037663047190143405,0.007532609438028681,0.0037663047190143405,0.0037663047190143405
21,5050,13,2,1,0,13,CD,0.003233908248663928,0.009701724745991784,0.0031720496834092356,0.0033576253791733133
22,6800,13th,1,1,0,13th,JJ,0.0068968990829321964,0.0068968990829321964,0.0068968990829321964,0.0068968990829321964
23,3705,14,4,1,0,14,CD,0.009389130895507858,0.028167392686523574,0.00850984363342202,0.01518679786887622
24,3704,15,4,1,0,15,CD,0.006491678810373338,0.02596671524149335,0.005831636373718022,0.009187905557192493
25,6832,150,1,1,0,150,CD,0.005203137647371109,0.005203137647371109,0.005203137647371109,0.005203137647371109
26,6853,16,1,1,0,16,CD,0.012585367129966017,0.012585367129966017,0.012585367129966017,0.012585367129966017
27,6631,16s,1,1,0,16,CD,0.005433534886369091,0.005433534886369091,0.005433534886369091,0.005433534886369091
28,6626,16yrold,1,1,0,16yrold,CD,0.009061464333575532,0.009061464333575532,0.009061464333575532,0.009061464333575532
29,2921,17,5,1,0,17,CD,0.010460217310877179,0.03138065193263154,0.010706527781745709,0.017379258124594264
30,6618,1738,1,1,0,1738,CD,0.007629471265316186,0.007629471265316186,0.007629471265316186,0.007629471265316186
31,6604,18,1,1,0,18,CD,0.014579088655505187,0.014579088655505187,0.014579088655505187,0.014579088655505187
32,6657,1800,1,1,0,1800,CD,0.015833203808666926,0.015833203808666926,0.015833203808666926,0.015833203808666926
33,6708,18th,1,1,0,18th,CD,0.014724879542060238,0.014724879542060238,0.014724879542060238,0.014724879542060238
34,6728,1968,1,1,0,1968,CD,0.008817293138958227,0.008817293138958227,0.008817293138958227,0.008817293138958227
35,6671,1982,1,1,0,1982,CD,0.010947865830528057,0.010947865830528057,0.010947865830528057,0.010947865830528057
36,6662,1987,1,1,0,1987,CD,0.0032009030420678776,0.006401806084135755,0.0032009030420678776,0.0032009030420678776
37,6681,1988,1,1,0,1988,CD,0.0032009030420678776,0.006401806084135755,0.0032009030420678776,0.0032009030420678776
38,7115,1991,1,1,0,1991,CD,0.007853269089098794,0.007853269089098794,0.007853269089098794,0.007853269089098794
39,7111,1995,1,1,0,1995,CD,0.006995192181501301,0.006995192181501301,0.006995192181501301,0.006995192181501301
40,7222,1st,1,1,0,1st,CD,0.004645072410744555,0.004645072410744555,0.004645072410744555,0.004645072410744555
41,914,2,26,1,0,2,CD,0.01117747037626471,0.16766205564397066,0.007190588005513686,0.0549343058806325
42,2344,20,7,1,0,20,CD,0.006718761131543301,0.047031327920803105,0.005948662516707624,0.01034422595269848
43,7216,200,1,1,0,200,CD,0.0067545319000276325,0.0067545319000276325,0.0067545319000276325,0.0067545319000276325
44,7236,2000s,1,1,0,2000,CD,0.006995192181501301,0.006995192181501301,0.006995192181501301,0.006995192181501301
45,7235,2000whatever,1,1,0,2000whatev,CD,0.012270732951716865,0.012270732951716865,0.012270732951716865,0.012270732951716865
46,7207,2005,1,1,0,2005,CD,0.006995192181501301,0.006995192181501301,0.006995192181501301,0.006995192181501301
47,7191,2017,1,1,0,2017,CD,0.006072115275076387,0.006072115275076387,0.006072115275076387,0.006072115275076387
48,7189,2018,1,1,0,2018,CD,0.005423528376449443,0.005423528376449443,0.005423528376449443,0.005423528376449443
49,4927,2020,2,1,0,2020,CD,0.0067276413013440785,0.013455282602688157,0.0067276413013440785,0.0067447599815001705
50,4929,20k,2,1,0,20k,CD,0.003899698666866229,0.007799397333732458,0.003899698666866229,0.004663043937827278
51,6922,20s,1,1,0,20,CD,0.007811607184116837,0.007811607184116837,0.007811607184116837,0.007811607184116837
52,786,21,32,1,0,21,CD,0.011537950595217715,0.11537950595217715,0.006014307317636545,0.03766678695868402
53,7048,21st,1,1,0,21st,JJ,0.005961489693141797,0.005961489693141797,0.005961489693141797,0.005961489693141797
54,1878,22,10,1,0,22,CD,0.051811040994544255,0.10362208198908851,0.051811040994544255,0.09792392269437285
55,7044,222,1,1,0,222,CD,0.012270732951716865,0.012270732951716865,0.012270732951716865,0.012270732951716865
56,4934,223,2,1,0,223,CD,0.004293356108895026,0.008586712217790051,0.004293356108895026,0.0049698231442632836
57,6990,23,1,1,0,23,CD,0.00555655831775858,0.00555655831775858,0.00555655831775858,0.00555655831775858
58,7007,230,1,1,0,230,CD,0.009349129867974754,0.009349129867974754,0.009349129867974754,0.009349129867974754
59,4938,23s,2,1,0,23,CD,0.007147104933090665,0.01429420986618133,0.007147104933090665,0.007243687432186485
60,1727,24,11,1,0,24,CD,0.016297966080650806,0.08148983040325403,0.011946839915298026,0.03622590167864563
61,4939,247,2,1,0,247,CD,0.007362439771030119,0.007362439771030119,0.007362439771030119,0.007362439771030119
62,4942,24s,2,1,0,24,CD,0.010670202566710318,0.010670202566710318,0.010670202566710318,0.010670202566710318
63,4628,25,3,1,0,25,CD,0.0102732471934437,0.0205464943868874,0.0102732471934437,0.012992363207607207
64,8865,27,1,1,0,27,CD,0.0053642548422805966,0.0053642548422805966,0.0053642548422805966,0.0053642548422805966
65,8857,281,1,1,0,281,CD,0.007182868069297677,0.007182868069297677,0.007182868069297677,0.007182868069297677
66,8968,29,1,1,0,29,CD,0.004523772516761978,0.004523772516761978,0.004523772516761978,0.004523772516761978
67,8926,2am,1,1,0,2am,CD,0.011874902856500192,0.011874902856500192,0.011874902856500192,0.011874902856500192
68,8733,2for1s,1,1,0,2for1,CD,0.014507270484788412,0.014507270484788412,0.014507270484788412,0.014507270484788412
69,4911,2k,2,1,0,2k,CD,0.00581980539201858,0.01163961078403716,0.00581980539201858,0.0059414514893214995
70,8661,2pac,1,1,0,2pac,CD,0.005985723391081398,0.005985723391081398,0.005985723391081398,0.005985723391081398
71,8657,2x,1,1,0,2x,CD,0.0064300784026463925,0.0064300784026463925,0.0064300784026463925,0.0064300784026463925
72,1732,3,11,1,0,3,CD,0.008376314921032718,0.08376314921032718,0.004069005046192168,0.036241787113267976
73,2866,30,5,1,0,30,CD,0.0035392281581512705,0.021235368948907624,0.0030497463643416214,0.006468133307547475
74,2251,300,8,1,0,300,CD,0.004600233206287825,0.0368018656503026,0.0036828887597258044,0.009281299642818656
75,8802,300s,1,1,0,300,CD,0.010709003303316537,0.010709003303316537,0.010709003303316537,0.010709003303316537
76,8787,3012,1,1,0,3012,CD,0.01182721248358252,0.01182721248358252,0.01182721248358252,0.01182721248358252
77,9225,3030,1,1,0,3030,CD,0.01591878869411918,0.01591878869411918,0.01591878869411918,0.01591878869411918
78,1870,305,10,1,0,305,CD,0.012022260658049979,0.06011130329024989,0.016129306312933783,0.017079892806661817
79,9220,30k,1,1,0,30k,CD,0.005335101283355159,0.005335101283355159,0.005335101283355159,0.005335101283355159
80,3697,30s,4,1,0,30,CD,0.012347907372796847,0.012347907372796847,0.012347907372796847,0.012347907372796847
81,9215,310,1,1,0,310,CD,0.006603084996439568,0.006603084996439568,0.006603084996439568,0.006603084996439568
82,9263,32,1,1,0,32,CD,0.01332568284349343,0.01332568284349343,0.01332568284349343,0.01332568284349343
83,4947,330,2,1,0,330,CD,0.021035542202943198,0.021035542202943198,0.021035542202943198,0.021035542202943198
84,9316,335,1,1,0,335,CD,0.014295999555398288,0.014295999555398288,0.014295999555398288,0.014295999555398288
85,9312,34,1,1,0,34,CD,0.014365736138595354,0.014365736138595354,0.014365736138595354,0.014365736138595354
86,9346,3400,1,1,0,3400,CD,0.005335101283355159,0.005335101283355159,0.005335101283355159,0.005335101283355159
87,9344,35,1,1,0,35,CD,0.014365736138595354,0.014365736138595354,0.014365736138595354,0.014365736138595354
